delivery_date,split,last_settlement_price,settlement_price,price_change_eur_mwh,target_direction,pnl_long_eur,pnl_short_eur,gen_solar_mw_mean,gen_wind_onshore_mw_mean,gen_wind_offshore_mw_mean,gen_fossil_gas_mw_mean,gen_fossil_hard_coal_mw_mean,gen_fossil_brown_coal_lignite_mw_mean,gen_nuclear_mw_mean,load_actual_mw_mean,load_forecast_mw_mean,forecast_solar_mw_mean,forecast_wind_onshore_mw_mean,forecast_wind_offshore_mw_mean,weather_temperature_2m_degc_mean,weather_wind_speed_10m_kmh_mean,weather_shortwave_radiation_wm2_mean,price_fr_eur_mwh_mean,price_nl_eur_mwh_mean,price_at_eur_mwh_mean,price_pl_eur_mwh_mean,price_cz_eur_mwh_mean,price_dk_1_eur_mwh_mean,flow_fr_net_import_mw_mean,flow_nl_net_import_mw_mean,carbon_price_usd_mean,gas_price_usd_mean,price_mean,price_max,price_min,price_std
2021-07-27,train,88.81041666666665,87.33291666666666,-1.477499999999992,-1,-35.45999999999981,35.45999999999981,8652.897291666666,3541.8116666666665,201.81041666666667,5919.397395833334,5686.429062499999,11632.714687500002,7873.724687499999,57223.887812500005,56299.61541666667,8372.829270833334,2817.255833333333,357.716875,20.070833333333333,7.066666666666666,237.79166666666666,86.49083333333334,89.73333333333333,88.55958333333332,81.02041666666666,88.58125,88.81041666666665,2606.476125,-16.415520833333343,15.452500343322754,36.68216768900553,88.81041666666665,109.0,69.07,12.062100357575869
2021-07-28,train,87.33291666666666,77.24208333333333,-10.090833333333336,-1,-242.18000000000006,242.18000000000006,8900.131041666666,5956.933333333333,711.6167708333334,5317.317291666666,5872.191041666666,11616.026770833334,7862.80125,57802.340208333335,57265.0965625,8721.413229166666,5530.911666666667,783.4805208333333,19.479166666666668,10.804166666666667,234.04166666666666,84.49958333333333,87.19791666666667,87.18333333333334,82.20625,87.33291666666666,87.33291666666666,2132.6011875,-623.4510416666667,15.452500343322754,37.47733370463053,87.33291666666666,111.94,71.02,11.93081194772108
2021-07-29,train,77.24208333333333,46.48833333333334,-30.75374999999999,-1,-738.0899999999997,738.0899999999997,6905.4890625,11669.658229166665,3810.9438541666664,3526.7081249999997,2894.0525,10548.4653125,7796.108125,57643.43927083333,57346.326250000006,7622.770416666666,10868.527083333332,3405.9913541666665,18.341666666666665,13.058333333333332,207.375,64.78708333333334,77.5525,82.90583333333333,83.125,84.04166666666667,77.24208333333333,3193.1005,117.47760416666665,15.452500343322754,39.3466682434082,77.24208333333333,111.86,50.1,17.02834899172724
2021-07-30,train,46.48833333333334,64.70416666666667,18.21583333333333,1,437.1799999999999,-437.1799999999999,9673.200520833334,20122.305104166666,5395.437916666667,2631.7760416666665,1814.4254166666667,5915.895,7108.486458333333,58228.91333333333,57091.66166666666,9748.2928125,19529.794583333332,5249.2898958333335,17.1125,16.395833333333332,200.04166666666666,49.07416666666666,46.19416666666667,69.98416666666667,78.75166666666667,81.30333333333333,38.705416666666665,2080.5506458333334,-496.99635416666666,15.452500343322754,40.911333084106445,46.48833333333334,95.98,-8.86,35.030785673854595
2021-07-31,train,64.70416666666667,29.38625,-35.31791666666666,-1,-847.6299999999999,847.6299999999999,11038.8340625,11380.666979166666,2664.8242708333332,3025.487291666667,1908.1373958333334,7852.5040625,7513.4921875,55957.6709375,56313.49354166666,10611.7734375,10854.154166666667,2952.1603125,18.587500000000002,11.366666666666667,224.95833333333334,39.625416666666666,95.01666666666667,70.15083333333332,72.69,71.95541666666666,58.93833333333333,3114.0042916666666,-33.140312500000036,15.452500343322754,40.822333653767906,64.70416666666667,116.17,40.27,21.01175673318375
2021-08-01,train,29.38625,59.17958333333333,29.793333333333333,1,715.04,-715.04,8586.12625,19460.7609375,3245.5392708333334,2364.276354166667,1182.4997916666666,4841.7353125,7127.2371875,49408.77208333334,47471.50885416666,8723.960416666667,20107.27625,2626.057604166667,17.1375,16.770833333333332,204.875,30.324583333333333,50.274166666666666,47.77166666666667,69.34416666666667,53.92166666666666,39.42166666666667,2447.6284791666667,-778.5769791666667,15.452500343322754,40.75600051879883,29.38625,70.91,-20.06,30.18037655173222
2021-08-02,train,59.17958333333333,82.03041666666667,22.850833333333334,1,548.4200000000001,-548.4200000000001,6356.603854166667,6067.822187500001,2395.9179166666668,2500.788020833333,1114.1730208333333,7189.535208333334,7770.846770833334,44531.6246875,44698.7603125,5555.832604166667,5766.416041666666,1994.9601041666667,16.083333333333332,8.733333333333333,177.04166666666666,50.653333333333336,80.83958333333334,58.35375,62.38041666666667,59.17958333333333,57.184583333333336,2904.037958333333,-1385.149375,15.452500343322754,40.75600051879883,59.17958333333333,80.0,48.94,9.248413015058393
2021-08-03,train,82.03041666666667,96.60708333333334,14.576666666666668,1,349.84000000000003,-349.84000000000003,8026.1440625,7676.362395833334,2452.1497916666667,2984.338229166666,2722.45125,10346.360729166667,7874.1232291666665,54990.831875,54945.638750000006,8355.0796875,7691.785729166667,2255.401354166667,15.316666666666668,10.6875,205.75,82.44583333333334,88.66708333333334,82.04583333333333,80.69833333333334,81.91375000000001,82.03041666666667,2211.0475833333335,-1757.3271875,15.452500343322754,41.920166651407875,82.03041666666667,117.52,51.24,19.019559835616064
2021-08-04,train,96.60708333333334,98.17708333333333,1.5699999999999932,1,37.679999999999836,-37.679999999999836,7286.154374999999,1876.7520833333335,236.91416666666666,4190.122604166667,5948.214895833334,11594.181979166666,7938.384270833333,55770.93041666667,55636.06041666667,7333.554166666666,1926.5320833333333,235.79947916666666,14.9125,4.616666666666666,174.83333333333334,90.69666666666666,96.445,96.17125,90.84541666666667,96.60000000000001,96.60708333333334,2644.5400208333335,-924.1750000000001,15.452500343322754,41.39466667175293,96.60708333333334,130.0,75.01,15.683448622302613
2021-08-05,train,98.17708333333333,92.92666666666668,-5.250416666666652,-1,-126.00999999999965,126.00999999999965,6859.518749999999,1475.1492708333333,166.48822916666668,5083.186458333334,5878.548020833333,11700.9840625,7920.745208333334,54963.68729166667,55341.198333333334,6735.9021875,1630.0084375,125.9790625,15.645833333333334,3.7083333333333335,222.58333333333334,91.63541666666667,98.68041666666666,97.76041666666667,91.73333333333333,98.04166666666667,98.17708333333333,2646.950354166667,-95.71916666666668,15.452500343322754,42.084665298461914,98.17708333333333,128.94,76.65,15.167741650468683
