year,strategy,standalone_pnl,standalone_rank,market_adjusted_pnl,market_adjusted_rank,rank_change,final_weight,weight_variance,max_forecast_correlation,loo_mae_delta,classification
2025,Stacked Ridge Meta,6822.6068,9,-23.2293,4,5,0.0,0.06848169,0.9992,0.203,redundant
2025,Temperature Extreme,-150.5728,64,-105.5338,12,52,0.0,5.153e-05,0.9187,0.0094,weak
2025,Top KEnsemble,6903.8907,2,-419.0504,37,-35,0.0,2.8e-06,1.0,0.0421,redundant
2025,Volatility Regime,372.7953,52,-509.2812,55,-3,0.0,1.8e-07,0.8277,0.0167,weak
2025,Volatility Regime ML,73.0124,56,-466.3593,49,7,0.0,0.0,0.9999,-0.0047,redundant
2025,Weekday Weekend Ensemble,4686.8193,26,-445.8388,44,-18,0.0,1.29e-06,0.9997,0.0094,redundant
2025,Weekly Cycle,1903.9564,41,-0.3609,1,40,0.0,0.00318716,0.7991,-0.0053,weak
2025,Weighted Vote Mixed,6894.8826,5,-388.6332,28,-23,0.0,2.79e-06,1.0,0.0121,redundant
2025,Wind Forecast,1686.1203,45,-1053.4337,67,-22,0.0,2.97e-06,0.9222,0.0468,weak
2025,Wind Forecast Error,5300.7339,25,-591.6666,58,-33,0.0,5.493e-05,0.8703,0.0324,standalone_only
2025,ZScore Momentum,-2664.7189,67,-465.9149,48,19,0.0,0.0,0.9998,0.0,redundant
