case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
ealost_2024,18,0.738809,22.6793,23.7441,-15.9331,11,2.3173,Lasso Calendar Augmented,0.116006,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.116006; 0.116006; 0.110311,1,0.9889
ealost_2024,19,0.617535,23.1667,24.231,-16.2165,11,2.3115,Stacked Ridge Meta,0.129851,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.129851; 0.117270; 0.117270,1,0.9852
ealost_2024,20,0.506293,23.5677,24.6318,-16.4494,11,2.3094,Stacked Ridge Meta,0.128703,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.128703; 0.121197; 0.121197,1,0.9743
ealost_2024,21,0.351956,23.8642,24.9221,-16.6052,10,2.1602,Stacked Ridge Meta,0.173787,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.173787; 0.134301; 0.134301,1,0.9693
ealost_2024,22,0.288965,24.0296,25.0812,-16.6549,11,2.0867,Stacked Ridge Meta,0.218975,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.218975; 0.142503; 0.142503,1,0.9483
ealost_2024,23,0.237305,24.1096,25.1563,-16.64,10,1.9824,Stacked Ridge Meta,0.244879,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.244879; 0.159656; 0.159656,1,0.9323
ealost_2024,24,0.374192,23.9028,24.9369,-16.3755,9,1.6482,Stacked Ridge Meta,0.425635,Stacked Ridge Meta; Elastic Net; Lag2Reversion,0.425635; 0.201755; 0.098858,1,0.8945
ealost_2024,25,0.215074,23.8004,24.8219,-16.1938,9,1.7592,Stacked Ridge Meta,0.414804,Stacked Ridge Meta; Elastic Net; Median Forecast Ensemble,0.414804; 0.131602; 0.111705,1,0.9188
ealost_2024,26,0.254203,23.7505,24.7562,-16.0422,7,1.659,Stacked Ridge Meta,0.43882,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.438820; 0.124465; 0.124465,1,0.9405
ealost_2024,27,0.191416,23.6826,24.6752,-15.8978,7,1.6231,Stacked Ridge Meta,0.424555,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.424555; 0.150612; 0.150612,1,0.9311
ealost_2024,28,0.210781,23.6962,24.6784,-15.827,7,1.5772,Stacked Ridge Meta,0.394312,Stacked Ridge Meta; Lasso Calendar Augmented; Lasso Regression,0.394312; 0.181441; 0.181441,1,0.9469
ealost_2024,29,0.235855,23.6654,24.6448,-15.7019,5,1.4649,Stacked Ridge Meta,0.413067,Stacked Ridge Meta; PLSRegression; Lasso Calendar Augmented,0.413067; 0.179356; 0.165925,1,0.9243
ealost_2024,30,0.488275,23.5322,24.5151,-15.4811,6,1.4143,Stacked Ridge Meta,0.508633,Stacked Ridge Meta; PLSRegression; Lasso Calendar Augmented,0.508633; 0.183687; 0.107560,1,0.9074
ealost_2024,31,0.417534,23.7868,24.777,-15.5687,5,1.3839,Stacked Ridge Meta,0.347995,Stacked Ridge Meta; PLSRegression; Lasso Calendar Augmented,0.347995; 0.338484; 0.144535,1,0.9755
ealost_2024,32,0.746263,23.3656,24.3623,-15.0978,5,1.1978,Stacked Ridge Meta,0.452424,Stacked Ridge Meta; PLSRegression; Lag2Reversion,0.452424; 0.364506; 0.106096,1,0.8169
ealost_2024,33,0.64179,23.836,24.8314,-15.495,8,1.9661,Lasso Calendar Augmented,0.203278,Lasso Calendar Augmented; Lasso Regression; PLSRegression,0.203278; 0.203278; 0.153074,1,1.0
ealost_2024,34,0.261773,23.6636,24.6553,-15.3154,8,1.6244,Stacked Ridge Meta,0.435745,Stacked Ridge Meta; PLSRegression; Lasso Calendar Augmented,0.435745; 0.128950; 0.114885,1,0.8947
ealost_2024,35,0.458158,24.006,24.9959,-15.5849,8,1.8511,Lasso Calendar Augmented,0.225508,Lasso Calendar Augmented; Lasso Regression; Stacked Ridge Meta,0.225508; 0.225508; 0.172981,1,0.987
ealost_2024,36,1.683586,22.7685,23.76,-14.5155,7,1.4527,Stacked Ridge Meta,0.49292,Stacked Ridge Meta; Lag2Reversion; Solar Forecast,0.492920; 0.184683; 0.135870,1,0.6131
ealost_2024,37,0.824897,23.3599,24.3477,-15.0615,9,1.949,Lasso Calendar Augmented,0.217467,Lasso Calendar Augmented; Lasso Regression; PLSRegression,0.217467; 0.217467; 0.130202,1,1.0
ealost_2024,38,0.452113,23.7098,24.6929,-15.3245,7,1.7005,Lasso Calendar Augmented,0.25822,Lasso Calendar Augmented; Lasso Regression; Stacked Ridge Meta,0.258220; 0.258220; 0.252976,1,1.0
